score_threshold,margin_threshold,accepted,rejected,coverage,abstention_rate,selective_accuracy,accepted_errors
0.75,0.35,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.4,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.45,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.75,0.5,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.05,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.1,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.15,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.2,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.25,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.3,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.35,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.4,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.45,11,19,0.36666666666666664,0.6333333333333333,1.0,0
0.8,0.5,11,19,0.36666666666666664,0.6333333333333333,1.0,0
